Index,Ticket ID,Customer Plan,Ticket Subject,Ticket Text,Priority Hint
1,fcIPWXKnia,Pro,Export has been running too long,"Our team is working on a 200k-row collection, and we found the progress bar has not moved. The affected rows are mostly from the United Kingdom. This is blocking today's cleanup work. Can you help us send a fresh download link?",Urgent
2,JMFuy1BS3F,Starter,Save AI prompts for the team,"While preparing lead scoring prompts for a deadline, we found we want fewer copy-paste mistakes. The affected rows are mostly from France. The upload file is a CSV created during a migration test. This is blocking today's cleanup work. Is there a way to share prompts with the workspace?",Low
3,tXzdO2NB6E,Enterprise,Reusable prompt templates,"I need help with classification prompts because we found we test several LLM providers. The affected rows are mostly from multiple EMEA offices. We can work around it today, but need a reliable fix. Please lock approved prompts and let me know the next step.",Medium
4,waQBS4YoaE,Enterprise,Webhook failed during enrichment,"While preparing company domains for a deadline, we found the log shows a timeout. The file has 1,000,000 rows and 86 columns. It is not urgent, but it affects several users. Can you help us show failed rows?",Urgent
5,6tkroyK45K,Free,Unexpected charge on invoice,We ran into an issue with a canceled add-on: the change was made last month. The workspace has 58 active users. I can share a sample row if needed. Could you help us explain the charge?,Medium
6,YKX947hJlW,Free,Scheduled enrichment did not finish,"After checking LinkedIn URLs, we saw that the log shows a timeout. The workspace has 26 active users. We are using Chrome on Windows. The sales team is waiting for the cleaned file. What is the safest way to disable auto-run temporarily?",Low
7,9cxxDWqc0Y,Enterprise,Unexpected charge on invoice,"We ran into an issue with an old workspace: the invoice was already sent to finance. The workspace has 14 active users. The issue affects one workspace, but not another. Is there a way to explain the charge?",High
8,9Kt7AcDA8w,Free,Auto-run stopped processing rows,I need help with website URLs because we found the run stopped overnight. We are using Chrome on iPadOS. The workspace has 7 active users. The same workflow worked last week. Can you help us avoid duplicate charges?,Medium
9,GHRGPm91qV,Business,Company matching missed records,"Our team is working on names with typos, and we found the duplicate groups look too strict. The affected rows are mostly from the United Kingdom. The sales team is waiting for the cleaned file. Can you help us export a change log?",High
10,6mCEgbKbfC,Pro,Save AI prompts for the team,"During a cleanup involving translation prompts, we found we need approvals before changing prompts. The affected rows are mostly from France. We need this before a customer meeting. Could you help us share prompts with the workspace?",Urgent
11,TBqwGsTYUu,Free,Encoding issue in names,I need help with French customer names because we found the file may be Windows-1252. The workspace has 58 active users. The same workflow worked last week. What is the safest way to list the characters that changed?,High
12,Bc1ugZ2ERe,Business,Need help merging duplicate rows,"We ran into an issue with names with typos: some URLs include tracking parameters. We are using Chrome on Ubuntu. We can work around it today, but need a reliable fix. Is there a way to tune the matching rules?",Urgent
13,XMGzKZJJTP,Free,Large export is slow,"During a cleanup involving an enriched company table, we found the progress bar has not moved. The workspace has 26 active users. The affected rows are mostly from Canada. I can share a sample row if needed. What should we check before we send a fresh download link?",Urgent
14,PtxWlAuMUO,Pro,Special characters look wrong,"Our team is working on smart quotes, and we found some rows came from an old CRM export. The workspace has 14 active users. I can share a sample row if needed. Is there a way to fix the encoding?",Medium
15,ow57CRSY6S,Free,Broken accents after import,The workflow related to Portuguese product descriptions reported some rows came from an old CRM export. We are using Firefox on iPadOS. We are testing this on a small file before running the full import. Can you help us fix the encoding?,Urgent
16,n6gZFHjzU4,Pro,Invoice has extra seats,"After checking a canceled add-on, we saw that the card was charged this morning. The workspace has 26 active users. This is blocking today's cleanup work. Can you help us apply the credit to the next invoice?",Urgent
17,1LbI7qGsP6,Business,Export has been running too long,"While preparing a full product table for a deadline, we found the download link expired. This started after we exported from Pipedrive. I can share a sample row if needed. Could you help us confirm whether the export is still running?",High
18,NVbof8ym6C,Starter,Commas broke my import,"The workflow related to a webinar attendee list reported empty columns near the end. The file has 480 rows and 120 columns. The upload file is a semicolon CSV created last Friday. We can work around it today, but need a reliable fix. Can you confirm whether you can identify the failed rows?",High
19,loMxka9m5a,Pro,Encoding issue in names,"The workflow related to French customer names reported the file mixes old and new rows. The file has 24,000 rows and 47 columns. The affected rows are mostly from multiple EMEA offices. The issue affects one workspace, but not another. Can you help us re-export the file correctly?",Low
20,8Cjen6gL6w,Enterprise,Rows split into extra columns,"After checking a vendor list, we saw that unescaped quotes in product descriptions. This started after we exported from HubSpot. We need this before a customer meeting. Is there a way to upload the file safely?",Low
21,rNedHe7wYb,Enterprise,Locked out after email change,"I need help with the owner account because we found the old email is no longer active. The file has 250,000 rows and 28 columns. We can work around it today, but need a reliable fix. Could you help us update the login email?",High
22,DI0jbyVXQz,Business,Company matching missed records,The workflow related to names with typos reported the same company appears with local branches. The affected rows are mostly from the United States. The upload file is a Excel export created yesterday. This is blocking today's cleanup work. Can you help us ignore empty fields during merge?,High
23,NIGqidcX9p,Starter,Prompt library request,I need help with translation prompts because we found we run the same prompt every week. We are using Edge on macOS. The file has 480 rows and 47 columns. We need this before a customer meeting. What should we check before we share prompts with the workspace?,Low
24,WJZKtbzBm6,Business,CSV columns shifted after upload,"We ran into an issue with a product catalog: quoted values from Excel. This started after we exported from Shopify. The issue affects one workspace, but not another. Can you confirm whether you can normalize the delimiter?",Urgent
25,Zszqu1TcZR,Starter,CSV columns shifted after upload,"I need help with a lead file because we found semicolon delimiters from our ERP. This started after we exported from Excel. The issue affects one workspace, but not another. What is the safest way to repair the import?",Urgent
26,mVOClUp9za,Enterprise,Duplicates are not detected,"We ran into an issue with leads from event lists: one source has old values. The file has 100,000 rows and 28 columns. This is blocking today's cleanup work. What is the safest way to keep the newest value?",High
27,AOVOt5IVwE,Free,Rows split into extra columns,"While preparing a CRM backup for a deadline, we found empty columns near the end. The affected rows are mostly from Canada. We are testing this on a small file before running the full import. Could you help us normalize the delimiter?",Urgent
28,rZeiOddVxn,Business,Password reset did not work,"During a cleanup involving a teammate account, we found the invite link has expired. We are using Firefox on macOS. Finance is waiting for an answer. Can you confirm whether you can update the login email?",Medium
29,kVlzegc7C8,Enterprise,Auto-run stopped processing rows,"While preparing website URLs for a deadline, we found auto-run did not pick up new rows. The affected rows are mostly from Brazil. Finance is waiting for an answer. Can you confirm whether you can disable auto-run temporarily?",Medium
